invoice_id,company_id,customer_id,customer_name,amount,issue_date,due_date,status,predicted_pay_date,predicted_pay_prob,predicted_delay_days
11ef9e9c-8b65-481c-bdab-701804c10d68,abc-precision-001,a8ecae82-19b2-4b7f-9696-c2a686a7aed3,Tailor-Sagar,275000.0,2026-06-11,2026-07-11,paid,2026-07-14,0.99,3
f933b059-a410-4e42-a6eb-b67bb3fb88cc,abc-precision-001,b2aff970-68ba-4c93-9100-0f178cb93135,"Bajwa, Pillai and Seshadri",331000.0,2026-06-05,2026-08-03,paid,2026-08-03,0.95,0
79af849e-8890-40b3-92c5-c1519cc245c3,abc-precision-001,b3340f4f-4539-4d6c-afb3-f1182a32033e,Choudhry Ltd,479000.0,2026-06-05,2026-07-24,paid,2026-07-29,0.76,5
3bd96b2a-23b2-443f-bd2b-4659261bf9b9,abc-precision-001,2a997bda-faf4-4be4-b8c9-563c72e6d34e,Mane-Sankar,59000.0,2026-08-08,2026-09-26,open,2026-10-03,0.82,7
1533d8e4-d994-4720-9eb0-4bdb84287d92,abc-precision-001,eb9f8f7c-e7dc-465e-9a0f-c26876eb6111,Master PLC,305000.0,2026-04-18,2026-06-13,paid,2026-06-15,0.97,2
d8b7cc56-39e0-4329-abc0-948a4884f976,abc-precision-001,b7765f23-0844-4b57-8000-2c03b95caf8e,Khalsa-Yohannan,81000.0,2026-07-29,2026-09-20,open,2026-09-20,0.88,0
a23fec26-f85f-478d-9196-c357abfb1d45,abc-precision-001,a5bb3d74-ed6d-4acd-a490-9988435833c7,Ramakrishnan and Sons,124000.0,2026-06-01,2026-07-25,paid,2026-08-10,0.39,16
4ce7ee5f-3d56-47db-bd95-3d30d27857af,abc-precision-001,2a997bda-faf4-4be4-b8c9-563c72e6d34e,Mane-Sankar,145000.0,2026-04-19,2026-06-07,paid,2026-06-14,0.8,7
faf110a6-b65a-405b-9613-9a20d4e28d6b,abc-precision-001,e84a3021-02b8-49be-ab15-fce0f8d88c3b,"Sunder, Sani and Sarraf",352000.0,2026-05-04,2026-06-26,paid,2026-06-30,0.79,4
93b63712-c6a2-4e76-bf28-0d5a4c44163f,abc-precision-001,eb9f8f7c-e7dc-465e-9a0f-c26876eb6111,Master PLC,104000.0,2026-06-13,2026-08-10,paid,2026-08-10,0.92,0
3f4d8bee-dbef-4718-92d1-a59b92cce145,abc-precision-001,f53eac9a-255c-4399-8111-29f42cbc39d3,"Rau, Acharya and Grover",53000.0,2026-07-31,2026-09-09,open,2026-09-11,0.88,2
4d479cc1-b265-42ac-8403-4489915c1cf5,abc-precision-001,6053dd0e-5cf3-44ac-bbd5-5279a2f4cf22,Khanna-Majumdar,457000.0,2026-05-20,2026-06-20,paid,2026-07-02,0.52,12
4b8f54c0-3b41-44e3-a37e-e468beca4938,abc-precision-001,42018d84-9638-40c7-9df0-ee549131ecea,"Nagi, Dugar and Chaudhary",110000.0,2026-07-30,2026-09-14,open,2026-09-15,0.97,1
46b8efd0-5f01-46ca-8a9b-ea8aba68cecf,abc-precision-001,fc9c03a7-3a00-492c-8324-bd31944799de,"Tripathi, Chand and Kamdar",263000.0,2026-05-27,2026-07-11,paid,2026-07-19,0.78,8
dc4f0a93-d19f-42e3-8ab1-2db9a9623c50,abc-precision-001,8367f0ee-e9a4-4ca3-9f3a-d37d5d13259b,Patla and Sons,260000.0,2026-07-15,2026-08-17,open,2026-08-24,0.72,7
9c053cca-f181-497e-ab41-dd637872476c,abc-precision-001,bfcf77cf-15c9-48fa-9672-d5981124202b,Bhandari-Peri,341000.0,2026-08-02,2026-09-22,open,2026-10-06,0.47,14
6fee4c7c-5a23-4bfe-9a9c-9624b49b95e2,abc-precision-001,9c673347-0b6b-482d-a761-a94bd059a583,"Sankaran, Vig and Thakur",136000.0,2026-06-18,2026-08-10,paid,2026-08-10,0.99,0
e057a6fd-aa2a-405d-9208-b9b6f96dd9e6,abc-precision-001,02bf0564-3e29-4c02-8a01-d3832c8cc5a2,"Srivastava, Karan and Nanda",258000.0,2026-07-22,2026-09-03,open,2026-09-11,0.82,8
b40e431a-c9b2-42db-b346-45da0205537a,abc-precision-001,f41e822f-bb4e-4466-8472-f385407476cb,Kakar-Setty,500000.0,2026-06-13,2026-08-07,paid,2026-08-08,0.99,1
5b606156-de15-403c-807e-51aeb55a5ce4,abc-precision-001,175f29a7-7e0e-4cf6-9e4a-2f69fc34457e,"Bawa, Goel and Goda",156000.0,2026-07-28,2026-09-25,open,2026-09-25,0.82,0
14aec58e-5fdd-4229-a8bf-62ba13836e4b,abc-precision-001,8367f0ee-e9a4-4ca3-9f3a-d37d5d13259b,Patla and Sons,221000.0,2026-06-07,2026-07-22,paid,2026-07-28,0.79,6
41b7d320-b3af-4a0a-9e5c-80beae8580f5,abc-precision-001,66915358-3f5e-43aa-bbda-827c0ab288c4,"Kaur, Thaker and Narang",255000.0,2026-07-06,2026-09-03,open,2026-09-05,0.82,2
9f388130-9316-4b3a-a666-d1ea02971f6f,abc-precision-001,e60fceed-7383-4b74-ba7b-b1cbac77cf78,"Arora, Borde and Buch",269000.0,2026-05-11,2026-07-10,paid,2026-07-15,0.67,5
918c2db5-7bb6-4a25-93b1-cca92b897c39,abc-precision-001,9a1a27ae-a182-458d-862a-fb98aacd9765,Bala and Sons,311000.0,2026-07-02,2026-08-07,paid,2026-08-07,0.8,0
210798ef-cdfe-473c-af82-034cc13e6577,abc-precision-001,e84a3021-02b8-49be-ab15-fce0f8d88c3b,"Sunder, Sani and Sarraf",464000.0,2026-08-01,2026-09-23,open,2026-09-28,0.77,5
fa7a3aff-4a2a-4b8e-b0c0-c417170e9106,abc-precision-001,2a997bda-faf4-4be4-b8c9-563c72e6d34e,Mane-Sankar,86000.0,2026-07-19,2026-08-19,open,2026-08-25,0.69,6
c4b54944-1a94-47ea-a589-9a5dd4e0ac51,abc-precision-001,b2aff970-68ba-4c93-9100-0f178cb93135,"Bajwa, Pillai and Seshadri",474000.0,2026-07-31,2026-09-18,open,2026-09-21,0.89,3
313bd928-9b01-47d6-9243-17eee4f87f88,abc-precision-001,fc9c03a7-3a00-492c-8324-bd31944799de,"Tripathi, Chand and Kamdar",329000.0,2026-07-08,2026-08-25,open,2026-09-01,0.71,7
1c378728-df9c-4143-bde6-f264b30730b2,abc-precision-001,8367f0ee-e9a4-4ca3-9f3a-d37d5d13259b,Patla and Sons,351000.0,2026-05-16,2026-07-03,paid,2026-07-07,0.75,4
c8f61e09-fcb1-4562-acef-03e906789ee0,abc-precision-001,c6b496e4-2897-4264-b1bc-416bb30842d8,"Korpal, Pall and Kanda",352000.0,2026-07-09,2026-08-16,open,2026-08-16,0.95,0
7dc1e020-7c2f-4974-863f-ef89344a8862,abc-precision-001,125f8378-b5ad-45a8-9b71-6f94ae2fbb90,Khanna Inc,330000.0,2026-06-11,2026-07-21,paid,2026-07-24,0.99,3
ca226c19-bdcb-4d16-b994-fef8e04b8541,abc-precision-001,fc9c03a7-3a00-492c-8324-bd31944799de,"Tripathi, Chand and Kamdar",278000.0,2026-07-27,2026-08-28,open,2026-08-31,0.72,3
66198232-5eaf-4ac6-be16-3e38aab06363,abc-precision-001,f1ddd2b9-7153-4509-a69a-7a2112a1a561,Sankaran-Nanda,247000.0,2026-06-25,2026-08-22,open,2026-08-23,0.99,1
0b49d1f0-4b00-4466-8e3b-ac90654a2150,abc-precision-001,e84a3021-02b8-49be-ab15-fce0f8d88c3b,"Sunder, Sani and Sarraf",494000.0,2026-05-10,2026-06-18,paid,2026-06-24,0.75,6
c31b091a-5cc7-4424-8824-3cbfa903c9fd,abc-precision-001,97106f22-2f6c-4d33-a579-b795895e0373,Hans Group,97000.0,2026-06-02,2026-07-02,paid,2026-07-06,0.66,4
cff9a78a-8212-4dbc-9d71-979dea204d50,abc-precision-001,f1ddd2b9-7153-4509-a69a-7a2112a1a561,Sankaran-Nanda,384000.0,2026-07-06,2026-08-08,paid,2026-08-08,0.89,0
cd3e6489-f63e-48e6-bb83-3225baf2f6d0,abc-precision-001,6c4adcf6-ce0b-43d8-ad4c-da5101bbc8b5,"Dhar, Ben and Chokshi",335000.0,2026-07-05,2026-08-13,open,2026-08-13,0.99,0
ee6a454f-73dd-417a-a37c-d3043855fe2d,abc-precision-001,be5d953f-f2c5-47a0-899a-84ce925817e2,Dhawan LLC,459000.0,2026-06-05,2026-07-20,paid,2026-07-20,0.98,0
341025df-fc5f-4c34-895a-a3a5e00f7dcd,abc-precision-001,9c673347-0b6b-482d-a761-a94bd059a583,"Sankaran, Vig and Thakur",397000.0,2026-07-28,2026-09-16,open,2026-09-16,0.99,0
1e360be6-53a9-4768-83d5-1f7a98cbe762,abc-precision-001,b3340f4f-4539-4d6c-afb3-f1182a32033e,Choudhry Ltd,298000.0,2026-07-06,2026-08-10,open,2026-08-15,0.64,5
7af21154-8461-481f-bf5c-881d62811563,abc-precision-001,e60fceed-7383-4b74-ba7b-b1cbac77cf78,"Arora, Borde and Buch",117000.0,2026-05-29,2026-06-28,paid,2026-07-07,0.66,9
b18b6887-57c7-4adc-8c26-14091715f373,abc-precision-001,1b3becca-a5e5-4ab7-bc41-998c8d479e3b,Oza PLC,117000.0,2026-04-24,2026-06-04,paid,2026-06-06,0.86,2
c4df7bda-f4d5-4382-9ad6-4030080210d4,abc-precision-001,f1ddd2b9-7153-4509-a69a-7a2112a1a561,Sankaran-Nanda,68000.0,2026-08-03,2026-09-11,open,2026-09-11,0.88,0
06829886-d51a-4c9e-8c97-8dbdd3bb123c,abc-precision-001,61c3ec16-7358-40f5-b8c2-72dbb6a08419,Lala-Som,96000.0,2026-07-13,2026-09-02,open,2026-09-05,0.99,3
181fcc5a-83c4-4a91-9c13-9c05a06f6caf,abc-precision-001,564787a8-dd6b-4bda-8bb5-d88dda6df670,Mahal PLC,467000.0,2026-05-29,2026-07-26,open,2026-08-15,0.44,20
c6010616-2b76-49aa-9c1e-47151c8771e9,abc-precision-001,83805f63-6352-4f11-bfd2-ee9a2508f3db,Kapadia LLC,415000.0,2026-04-20,2026-05-25,paid,2026-05-25,0.82,0
0b0f35dd-5541-4922-8562-482e829a441d,abc-precision-001,8367f0ee-e9a4-4ca3-9f3a-d37d5d13259b,Patla and Sons,411000.0,2026-08-05,2026-09-09,open,2026-09-14,0.61,5
eb2ca90b-4b26-4038-898f-3d96aa7030f5,abc-precision-001,19be8ec9-08cb-4d0e-9120-6bdb022d64f2,Bhargava PLC,404000.0,2026-04-27,2026-06-03,paid,2026-06-11,0.49,8
94a39d38-963a-4d32-8a28-7fe3f9c1fbbf,abc-precision-001,fb29beb3-75bb-48cb-9574-8cd6569a7104,Natarajan PLC,463000.0,2026-06-21,2026-08-17,open,2026-08-19,0.99,2
474897c5-b402-44be-9358-6261bf13e37f,abc-precision-001,61c3ec16-7358-40f5-b8c2-72dbb6a08419,Lala-Som,152000.0,2026-06-30,2026-08-25,open,2026-08-27,0.9,2
dd857e81-33de-47a3-91f2-d3f54e629e8d,abc-precision-001,6cf121b0-a583-44ee-a3a5-493fc77a1d8c,"Bora, Kala and Gaba",398000.0,2026-05-16,2026-06-21,paid,2026-06-22,0.99,1
316e3731-f361-4e30-bf9d-1a44e1da014b,abc-precision-001,61c3ec16-7358-40f5-b8c2-72dbb6a08419,Lala-Som,492000.0,2026-05-18,2026-07-03,paid,2026-07-05,0.98,2
92a7122e-3345-4486-9603-2d4f8603d1ae,abc-precision-001,e84a3021-02b8-49be-ab15-fce0f8d88c3b,"Sunder, Sani and Sarraf",311000.0,2026-06-27,2026-08-26,open,2026-09-04,0.82,9
a6c9b4be-21b6-4b28-9ae9-4e4dd18a3107,abc-precision-001,be5d953f-f2c5-47a0-899a-84ce925817e2,Dhawan LLC,206000.0,2026-08-04,2026-09-06,open,2026-09-07,0.91,1
b5f2d3b9-2af1-4038-8289-e0cd6159cdd5,abc-precision-001,c6b496e4-2897-4264-b1bc-416bb30842d8,"Korpal, Pall and Kanda",136000.0,2026-06-14,2026-08-02,paid,2026-08-03,0.85,1
79ad9d7b-ff57-467d-8f3a-b6d777e143e0,abc-precision-001,1b3becca-a5e5-4ab7-bc41-998c8d479e3b,Oza PLC,467000.0,2026-05-10,2026-06-22,paid,2026-06-23,0.98,1
5fc701c1-443e-4b62-abb3-ac6e89a6f11f,abc-precision-001,e84a3021-02b8-49be-ab15-fce0f8d88c3b,"Sunder, Sani and Sarraf",244000.0,2026-05-13,2026-07-05,paid,2026-07-13,0.83,8
